Property_ID,Project_Name,Developer_Name,Location,Property_Type,Bedrooms,Property_Price_AED,Payment_Plan
PROP-00367,Binghatti Jacob & Co,Binghatti Developers,Jumeirah Lake Towers (JLT),Apartment,3,2090000,Post Handover 60/40
PROP-00359,Haven,Aldar Properties,Dubai Hills Estate,Penthouse,5,10827000,DLD Waiver Offer
PROP-00588,Hayat Townhouses,Nshama,Business Bay,Apartment,2,1909000,50/50
PROP-00105,DAMAC Lagoons,DAMAC Properties,Arabian Ranches,Apartment,1,1367000,50/50
PROP-00152,1/JVC,Dubai Properties,Damac Hills 2,Studio,0,502000,Post Handover 60/40
PROP-00016,Hayat Townhouses,Nshama,Mohammed Bin Rashid City (MBR City),Apartment,2,1312000,50/50
PROP-00321,Wilton Terraces,Ellington Properties,Business Bay,Townhouse,4,3004000,60/40
PROP-00280,Safa Two,DAMAC Properties,Business Bay,Apartment,4,2477000,80/20
PROP-00066,Fay Alreeman,Aldar Properties,Jumeirah Village Circle (JVC),Apartment,3,2328000,60/40
PROP-00023,Wilton Terraces,Ellington Properties,Dubai Silicon Oasis,Apartment,4,2215000,80/20
PROP-00528,Mudon,Dubai Properties,Business Bay,Apartment,2,1745000,80/20
PROP-00351,Address Residences,Emaar Properties,Dubai Marina,Apartment,1,1075000,80/20
PROP-00511,Sobha One,Sobha Realty,Dubai South,Apartment,2,1612000,DLD Waiver Offer
PROP-00348,Sobha Hartland,Sobha Realty,Palm Jumeirah,Townhouse,4,3113000,Post Handover 60/40
PROP-00180,Danube Diamondz,Danube Properties,Damac Hills 2,Townhouse,3,2729000,50/50
PROP-00541,Deira Islands,Nakheel,Dubai Hills Estate,Villa,4,5074000,50/50
PROP-00479,Azizi Venice,Azizi Developments,Arabian Ranches,Villa,5,6578000,80/20
PROP-00052,Fay Alreeman,Aldar Properties,Dubai Marina,Townhouse,3,2620000,Post Handover 60/40
PROP-00324,Danube Diamondz,Danube Properties,Mohammed Bin Rashid City (MBR City),Apartment,3,1943000,60/40
PROP-00554,Palm Jebel Ali,Nakheel,Dubai Hills Estate,Apartment,1,1295000,DLD Waiver Offer
PROP-00404,1/JVC,Dubai Properties,Business Bay,Penthouse,3,7998000,Post Handover 60/40
PROP-00125,La Mer Residences,Meraas,Palm Jumeirah,Studio,0,568000,50/50
PROP-00414,Azizi Aliyah,Azizi Developments,Dubai Hills Estate,Studio,0,778000,80/20
PROP-00248,Binghatti Canal,Binghatti Developers,Arabian Ranches,Apartment,2,1737000,DLD Waiver Offer
PROP-00530,Address Residences,Emaar Properties,Al Furjan,Villa,6,6101000,1% Monthly
PROP-00458,Bluewaters Residences,Meraas,Mohammed Bin Rashid City (MBR City),Studio,0,599000,50/50
PROP-00396,Azizi Venice,Azizi Developments,Business Bay,Apartment,1,1169000,70/30
PROP-00110,Palm Jebel Ali,Nakheel,Palm Jumeirah,Apartment,2,1628000,50/50
PROP-00562,DAMAC Lagoons,DAMAC Properties,Business Bay,Apartment,2,2315000,60/40
PROP-00179,Hayat Townhouses,Nshama,Dubai Marina,Apartment,4,2327000,70/30
PROP-00361,Wilton Terraces,Ellington Properties,Downtown Dubai,Apartment,3,2322000,60/40
PROP-00409,Palm Jebel Ali,Nakheel,Palm Jumeirah,Studio,0,637000,Post Handover 60/40
PROP-00050,Villanova,Dubai Properties,Business Bay,Apartment,2,1504000,Post Handover 60/40
PROP-00177,DAMAC Lagoons,DAMAC Properties,Dubai Hills Estate,Apartment,3,2410000,50/50
PROP-00320,Dubai Hills Views,Emaar Properties,Downtown Dubai,Studio,0,642000,Post Handover 60/40
PROP-00363,Fay Alreeman,Aldar Properties,Mohammed Bin Rashid City (MBR City),Villa,4,5853000,60/40
PROP-00459,Azizi Venice,Azizi Developments,Arabian Ranches,Apartment,2,1789000,50/50
PROP-00467,Belgravia,Ellington Properties,Jumeirah Lake Towers (JLT),Apartment,1,1323000,80/20
PROP-00520,Binghatti Jacob & Co,Binghatti Developers,Business Bay,Apartment,2,1637000,60/40
PROP-00217,Haven,Aldar Properties,Dubai South,Apartment,3,1793000,60/40
PROP-00599,Azizi Venice,Azizi Developments,Damac Hills 2,Studio,0,714000,DLD Waiver Offer
PROP-00595,Sobha Seahaven,Sobha Realty,Jumeirah Village Circle (JVC),Apartment,3,2058000,1% Monthly
PROP-00162,Azizi Riviera,Azizi Developments,Arabian Ranches,Townhouse,3,3112000,DLD Waiver Offer
PROP-00150,Azizi Aliyah,Azizi Developments,Dubai Marina,Apartment,2,1815000,1% Monthly
PROP-00531,Azizi Riviera,Azizi Developments,Jumeirah Village Circle (JVC),Apartment,4,2255000,50/50
PROP-00128,Yas Acres,Aldar Properties,Mohammed Bin Rashid City (MBR City),Villa,4,4241000,DLD Waiver Offer
PROP-00142,Danube Oceanz,Danube Properties,Dubai Marina,Townhouse,4,2928000,60/40
PROP-00235,Mudon,Dubai Properties,Dubai Marina,Studio,0,626000,70/30
PROP-00546,Danube Oceanz,Danube Properties,Dubai Silicon Oasis,Apartment,1,1630000,70/30
PROP-00032,DAMAC Hills 2,DAMAC Properties,Mohammed Bin Rashid City (MBR City),Apartment,1,1676000,Post Handover 60/40
PROP-00186,Azizi Aliyah,Azizi Developments,Dubai South,Apartment,4,2357000,70/30
PROP-00421,Azizi Venice,Azizi Developments,Jumeirah Village Circle (JVC),Penthouse,4,9711000,50/50
PROP-00169,Azizi Riviera,Azizi Developments,Jumeirah Village Circle (JVC),Studio,0,809000,1% Monthly
PROP-00415,DAMAC Lagoons,DAMAC Properties,Jumeirah Village Circle (JVC),Townhouse,3,2990000,80/20
PROP-00360,Binghatti Aquarise,Binghatti Developers,Downtown Dubai,Apartment,1,1679000,80/20
PROP-00165,DAMAC Lagoons,DAMAC Properties,Jumeirah Village Circle (JVC),Apartment,2,1975000,70/30
PROP-00486,Wilton Terraces,Ellington Properties,Mohammed Bin Rashid City (MBR City),Villa,3,4802000,60/40
PROP-00515,Danube Elitz,Danube Properties,Dubai South,Apartment,1,1459000,60/40
PROP-00424,Sobha One,Sobha Realty,Jumeirah Village Circle (JVC),Villa,4,4849000,70/30
PROP-00095,Danube Diamondz,Danube Properties,Palm Jumeirah,Villa,3,4912000,Post Handover 60/40
PROP-00261,Azizi Aliyah,Azizi Developments,Business Bay,Studio,0,520000,DLD Waiver Offer
PROP-00005,Binghatti Aquarise,Binghatti Developers,Downtown Dubai,Apartment,2,1753000,DLD Waiver Offer
PROP-00176,Sobha Seahaven,Sobha Realty,Dubai Marina,Apartment,1,1688000,70/30
PROP-00100,Sobha Creek Vistas,Sobha Realty,Jumeirah Lake Towers (JLT),Apartment,2,1859000,80/20
PROP-00514,DAMAC Lagoons,DAMAC Properties,Dubai Marina,Studio,0,707000,1% Monthly
PROP-00253,Emaar Beachfront,Emaar Properties,Mohammed Bin Rashid City (MBR City),Apartment,3,1910000,60/40
PROP-00418,Binghatti Aquarise,Binghatti Developers,Jumeirah Village Circle (JVC),Townhouse,2,2400000,70/30
PROP-00398,Danube Oceanz,Danube Properties,Dubai Marina,Apartment,2,1757000,80/20
PROP-00565,Aykon City,DAMAC Properties,Mohammed Bin Rashid City (MBR City),Townhouse,4,3512000,1% Monthly
PROP-00312,La Mer Residences,Meraas,Dubai Hills Estate,Apartment,1,1920000,60/40
PROP-00048,Creek Rise,Emaar Properties,Business Bay,Studio,0,671000,80/20
PROP-00224,Hayat Townhouses,Nshama,Dubai Marina,Apartment,3,2459000,80/20
PROP-00335,Deira Islands,Nakheel,Arabian Ranches,Apartment,3,2128000,70/30
PROP-00354,Azizi Aliyah,Azizi Developments,Business Bay,Villa,5,5516000,60/40
PROP-00516,Sobha One,Sobha Realty,Downtown Dubai,Apartment,2,2015000,80/20
PROP-00319,Creek Rise,Emaar Properties,Dubai Marina,Apartment,3,2164000,Post Handover 60/40
PROP-00345,Fay Alreeman,Aldar Properties,Jumeirah Village Circle (JVC),Studio,0,581000,1% Monthly
PROP-00243,Deira Islands,Nakheel,Business Bay,Apartment,1,2221000,50/50
PROP-00507,City Walk,Meraas,Downtown Dubai,Apartment,3,2225000,Post Handover 60/40
PROP-00047,Port De La Mer,Meraas,Dubai Silicon Oasis,Townhouse,3,2941000,80/20
PROP-00123,Dubai Hills Views,Emaar Properties,Dubai Hills Estate,Apartment,1,1510000,80/20
PROP-00523,Sobha One,Sobha Realty,Damac Hills 2,Apartment,3,2112000,50/50
PROP-00286,DAMAC Lagoons,DAMAC Properties,Palm Jumeirah,Apartment,2,1864000,60/40
PROP-00571,Wilton Terraces,Ellington Properties,Arabian Ranches,Apartment,2,1968000,60/40
PROP-00182,Binghatti Aquarise,Binghatti Developers,Dubai Hills Estate,Apartment,4,2671000,70/30
PROP-00446,Yas Acres,Aldar Properties,Mohammed Bin Rashid City (MBR City),Apartment,1,1394000,DLD Waiver Offer
PROP-00134,Haven,Aldar Properties,Al Furjan,Villa,3,4579000,50/50
PROP-00285,Hayat Townhouses,Nshama,Dubai South,Villa,5,5541000,60/40
PROP-00462,Belgravia,Ellington Properties,Dubai Marina,Apartment,1,1483000,1% Monthly
PROP-00544,Danube Oceanz,Danube Properties,Damac Hills 2,Townhouse,3,2918000,50/50
PROP-00353,Address Residences,Emaar Properties,Al Furjan,Villa,4,5464000,Post Handover 60/40
PROP-00323,Address Residences,Emaar Properties,Dubai Creek Harbour,Apartment,3,2357000,50/50
PROP-00267,DAMAC Lagoons,DAMAC Properties,Jumeirah Village Circle (JVC),Townhouse,3,2970000,80/20
PROP-00412,Yas Acres,Aldar Properties,Dubai Silicon Oasis,Penthouse,3,9560000,70/30
PROP-00208,Cavalli Couture,DAMAC Properties,Jumeirah Lake Towers (JLT),Studio,0,810000,60/40
PROP-00583,La Mer Residences,Meraas,Mohammed Bin Rashid City (MBR City),Studio,0,725000,70/30
PROP-00135,Yas Acres,Aldar Properties,Jumeirah Village Circle (JVC),Townhouse,4,3458000,Post Handover 60/40
PROP-00395,Safa Two,DAMAC Properties,Arabian Ranches,Apartment,3,1860000,Post Handover 60/40
PROP-00244,Danube Elitz,Danube Properties,Dubai Marina,Penthouse,4,10214000,1% Monthly
PROP-00436,Danube Elitz,Danube Properties,Dubai South,Villa,4,4921000,70/30
PROP-00078,Cavalli Couture,DAMAC Properties,Dubai Marina,Apartment,2,1391000,70/30
PROP-00113,Palm Jebel Ali,Nakheel,Dubai Hills Estate,Apartment,3,1880000,Post Handover 60/40
PROP-00502,Danube Elitz,Danube Properties,Downtown Dubai,Studio,0,768000,60/40
PROP-00144,Nad Al Sheba Gardens,Nakheel,Al Furjan,Villa,4,4890000,60/40
PROP-00390,Danube Elitz,Danube Properties,Jumeirah Lake Towers (JLT),Apartment,4,2448000,70/30
PROP-00099,Sobha Seahaven,Sobha Realty,Jumeirah Lake Towers (JLT),Apartment,2,1965000,60/40
PROP-00296,Sobha Seahaven,Sobha Realty,Palm Jumeirah,Villa,3,4346000,Post Handover 60/40
PROP-00037,Danube Diamondz,Danube Properties,Downtown Dubai,Apartment,1,1361000,DLD Waiver Offer
PROP-00121,La Mer Residences,Meraas,Palm Jumeirah,Penthouse,4,9551000,60/40
PROP-00014,Emaar Beachfront,Emaar Properties,Dubai South,Apartment,1,1742000,60/40
PROP-00560,Danube Oceanz,Danube Properties,Jumeirah Village Circle (JVC),Studio,0,532000,DLD Waiver Offer
PROP-00524,Sobha Creek Vistas,Sobha Realty,Mohammed Bin Rashid City (MBR City),Apartment,3,2161000,60/40
PROP-00506,Wilton Terraces,Ellington Properties,Dubai Marina,Apartment,3,2391000,Post Handover 60/40
PROP-00096,Belgravia,Ellington Properties,Jumeirah Lake Towers (JLT),Apartment,1,1625000,60/40
PROP-00370,Nad Al Sheba Gardens,Nakheel,Mohammed Bin Rashid City (MBR City),Apartment,2,1821000,70/30
PROP-00411,Danube Elitz,Danube Properties,Business Bay,Villa,5,5977000,Post Handover 60/40
PROP-00539,Safa Two,DAMAC Properties,Business Bay,Apartment,1,1488000,50/50
PROP-00342,Haven,Aldar Properties,Jumeirah Lake Towers (JLT),Apartment,3,2079000,80/20
PROP-00056,Binghatti Canal,Binghatti Developers,Al Furjan,Apartment,1,1594000,80/20
PROP-00264,DAMAC Hills 2,DAMAC Properties,Jumeirah Village Circle (JVC),Townhouse,3,2816000,80/20
PROP-00259,Jumeirah Islands,Nakheel,Dubai South,Apartment,1,1367000,60/40
PROP-00532,Port De La Mer,Meraas,Dubai Creek Harbour,Apartment,1,1458000,Post Handover 60/40
PROP-00470,Haven,Aldar Properties,Dubai South,Studio,0,750000,60/40
PROP-00041,Azizi Riviera,Azizi Developments,Jumeirah Village Circle (JVC),Townhouse,3,2255000,80/20
PROP-00194,Port De La Mer,Meraas,Jumeirah Village Circle (JVC),Studio,0,585000,60/40
PROP-00316,City Walk,Meraas,Business Bay,Apartment,2,1914000,70/30
PROP-00220,The Sanctuary,Ellington Properties,Jumeirah Village Circle (JVC),Villa,3,4953000,60/40
PROP-00234,La Mer Residences,Meraas,Downtown Dubai,Villa,4,4686000,60/40
PROP-00300,Mudon,Dubai Properties,Downtown Dubai,Apartment,2,1788000,DLD Waiver Offer
PROP-00001,Danube Diamondz,Danube Properties,Business Bay,Villa,4,5448000,80/20
PROP-00200,Hayat Townhouses,Nshama,Downtown Dubai,Villa,4,6731000,DLD Waiver Offer
PROP-00299,Creek Rise,Emaar Properties,Palm Jumeirah,Apartment,1,1265000,70/30
PROP-00432,Azizi Aliyah,Azizi Developments,Dubai Hills Estate,Apartment,2,1893000,80/20
PROP-00505,Wilton Terraces,Ellington Properties,Jumeirah Village Circle (JVC),Apartment,1,1145000,Post Handover 60/40
PROP-00273,Sobha One,Sobha Realty,Jumeirah Village Circle (JVC),Apartment,2,1927000,80/20
PROP-00355,Nad Al Sheba Gardens,Nakheel,Dubai Hills Estate,Apartment,1,1340000,80/20
PROP-00419,Town Square,Nshama,Dubai Marina,Apartment,1,1495000,70/30
PROP-00549,Emaar Beachfront,Emaar Properties,Al Furjan,Apartment,1,1269000,80/20
PROP-00534,Serena,Dubai Properties,Downtown Dubai,Apartment,2,1807000,60/40
PROP-00434,Nad Al Sheba Gardens,Nakheel,Business Bay,Villa,3,4024000,70/30
PROP-00191,Hayat Townhouses,Nshama,Mohammed Bin Rashid City (MBR City),Apartment,1,1259000,70/30
PROP-00570,Fay Alreeman,Aldar Properties,Downtown Dubai,Apartment,3,2195000,DLD Waiver Offer
PROP-00231,Deira Islands,Nakheel,Jumeirah Lake Towers (JLT),Apartment,2,1570000,DLD Waiver Offer
PROP-00482,Haven,Aldar Properties,Jumeirah Lake Towers (JLT),Apartment,3,1628000,60/40
PROP-00207,Azizi Riviera,Azizi Developments,Jumeirah Village Circle (JVC),Apartment,1,1063000,70/30
PROP-00596,Azizi Venice,Azizi Developments,Dubai Marina,Villa,4,5047000,50/50
PROP-00064,Sobha Hartland,Sobha Realty,Dubai South,Apartment,3,2266000,DLD Waiver Offer
PROP-00485,Danube Diamondz,Danube Properties,Dubai Silicon Oasis,Villa,4,5806000,80/20
PROP-00509,The Valley,Emaar Properties,Dubai Hills Estate,Studio,0,495000,80/20
PROP-00132,Hayat Townhouses,Nshama,Jumeirah Village Circle (JVC),Studio,0,824000,70/30
PROP-00527,Sobha Creek Vistas,Sobha Realty,Dubai Marina,Villa,3,4387000,50/50
PROP-00063,Danube Oceanz,Danube Properties,Dubai Hills Estate,Apartment,4,2341000,50/50
PROP-00274,The Sanctuary,Ellington Properties,Dubai Marina,Apartment,3,1745000,70/30
PROP-00203,Binghatti Aquarise,Binghatti Developers,Dubai South,Apartment,2,1863000,70/30
PROP-00201,Creek Rise,Emaar Properties,Jumeirah Lake Towers (JLT),Apartment,4,2236000,Post Handover 60/40
PROP-00478,Aykon City,DAMAC Properties,Dubai Silicon Oasis,Studio,0,736000,60/40
PROP-00116,Azizi Aliyah,Azizi Developments,Dubai Creek Harbour,Apartment,1,1200000,1% Monthly
PROP-00183,1/JVC,Dubai Properties,Mohammed Bin Rashid City (MBR City),Apartment,3,2508000,Post Handover 60/40
PROP-00385,Aykon City,DAMAC Properties,Downtown Dubai,Studio,0,488000,1% Monthly
PROP-00305,Sobha Hartland,Sobha Realty,Arabian Ranches,Villa,3,5516000,80/20
PROP-00111,Port De La Mer,Meraas,Dubai South,Townhouse,3,2735000,1% Monthly
PROP-00092,Belgravia,Ellington Properties,Dubai South,Townhouse,3,3458000,60/40
PROP-00337,Town Square,Nshama,Jumeirah Village Circle (JVC),Villa,4,5758000,1% Monthly
PROP-00160,Binghatti Jacob & Co,Binghatti Developers,Business Bay,Apartment,2,1771000,50/50
PROP-00102,Jumeirah Islands,Nakheel,Business Bay,Apartment,1,1328000,DLD Waiver Offer
PROP-00133,Azizi Aliyah,Azizi Developments,Dubai Creek Harbour,Townhouse,3,2780000,1% Monthly
PROP-00229,Fay Alreeman,Aldar Properties,Jumeirah Lake Towers (JLT),Apartment,1,1182000,50/50
PROP-00591,Mudon,Dubai Properties,Dubai South,Apartment,3,2264000,80/20
PROP-00290,Danube Elitz,Danube Properties,Damac Hills 2,Apartment,4,2684000,Post Handover 60/40
PROP-00192,Bluewaters Residences,Meraas,Dubai Silicon Oasis,Penthouse,5,9824000,Post Handover 60/40
PROP-00533,The Sanctuary,Ellington Properties,Dubai Hills Estate,Apartment,3,2186000,1% Monthly
PROP-00425,Danube Elitz,Danube Properties,Jumeirah Village Circle (JVC),Apartment,2,1607000,50/50
PROP-00003,Safa Two,DAMAC Properties,Dubai Creek Harbour,Apartment,2,1930000,1% Monthly
PROP-00402,Belgravia,Ellington Properties,Jumeirah Lake Towers (JLT),Apartment,4,2468000,70/30
PROP-00262,Creek Rise,Emaar Properties,Dubai Hills Estate,Townhouse,3,2682000,Post Handover 60/40
PROP-00374,Dubai Hills Views,Emaar Properties,Dubai Creek Harbour,Apartment,3,1477000,Post Handover 60/40
PROP-00343,The Valley,Emaar Properties,Dubai Silicon Oasis,Apartment,1,1640000,DLD Waiver Offer
PROP-00521,Emaar Beachfront,Emaar Properties,Al Furjan,Villa,3,4420000,60/40
PROP-00582,Sobha Seahaven,Sobha Realty,Jumeirah Lake Towers (JLT),Villa,6,6426000,Post Handover 60/40
PROP-00216,DAMAC Lagoons,DAMAC Properties,Palm Jumeirah,Villa,4,5398000,80/20
PROP-00146,Mudon,Dubai Properties,Palm Jumeirah,Apartment,2,2081000,Post Handover 60/40
PROP-00332,City Walk,Meraas,Downtown Dubai,Apartment,2,1623000,Post Handover 60/40
PROP-00452,Haven,Aldar Properties,Dubai South,Townhouse,3,2870000,70/30
PROP-00346,Wilton Terraces,Ellington Properties,Dubai South,Apartment,2,1782000,80/20
PROP-00155,Belgravia,Ellington Properties,Dubai Marina,Villa,5,5448000,60/40
PROP-00211,Jumeirah Islands,Nakheel,Jumeirah Lake Towers (JLT),Apartment,2,2344000,Post Handover 60/40
PROP-00401,Port De La Mer,Meraas,Jumeirah Village Circle (JVC),Villa,3,5129000,70/30
PROP-00426,Mudon,Dubai Properties,Dubai Marina,Apartment,2,2087000,60/40
PROP-00035,Mudon,Dubai Properties,Arabian Ranches,Townhouse,2,2210000,60/40
PROP-00090,Jumeirah Islands,Nakheel,Al Furjan,Villa,6,6275000,70/30
PROP-00172,Azizi Riviera,Azizi Developments,Al Furjan,Studio,0,824000,60/40
PROP-00225,Hayat Townhouses,Nshama,Al Furjan,Penthouse,4,8845000,Post Handover 60/40
PROP-00403,Mudon,Dubai Properties,Dubai Marina,Apartment,1,1446000,70/30
PROP-00057,Azizi Venice,Azizi Developments,Dubai Hills Estate,Apartment,2,1631000,Post Handover 60/40
PROP-00307,Sobha Hartland,Sobha Realty,Jumeirah Village Circle (JVC),Apartment,2,1712000,60/40
PROP-00089,Azizi Aliyah,Azizi Developments,Palm Jumeirah,Studio,0,894000,60/40
PROP-00101,DAMAC Hills 2,DAMAC Properties,Business Bay,Apartment,2,1979000,Post Handover 60/40
PROP-00153,Sobha Seahaven,Sobha Realty,Business Bay,Apartment,1,1211000,Post Handover 60/40
